	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
212	-3.16311	0.00362116	9.53909	0.00267041	-2.11128	0.004135	7.06995	0.00257594
213	-3.15241	0.00374807	9.53892	0.00274138	-2.10853	0.00426585	7.07119	0.00262612
214	-3.1341	0.00361157	9.50923	0.00263011	-2.0749	0.00416702	7.05227	0.00258938
215	-3.11513	0.00348396	9.45129	0.00260657	-2.07675	0.00418978	7.00462	0.00257411
216	-3.09487	0.00371789	9.39785	0.00267711	-2.05499	0.00415755	6.96948	0.00261924
217	-3.06861	0.00337221	9.34717	0.00247539	-2.04132	0.00411351	6.93443	0.00258893
218	-3.04521	0.00334228	9.30171	0.00248776	-2.0331	0.00411876	6.90219	0.00256576
219	-3.02772	0.00353236	9.26231	0.00255724	-2.02308	0.00404862	6.87299	0.00251584
220	-3.01628	0.00366131	9.22968	0.00262542	-2.0162	0.00390436	6.84893	0.00249925
221	-3.00043	0.00347599	9.1999	0.00256871	-2.00482	0.00402058	6.82998	0.00253619
222	-2.98985	0.0033298	9.17049	0.00249725	-1.99821	0.00414456	6.80947	0.00257602
223	-2.99025	0.00326654	9.1797	0.00243355	-1.99701	0.00383891	6.81707	0.00245766
224	-3.01639	0.00377934	9.23199	0.00271173	-2.01922	0.00405496	6.85113	0.00256684
225	-3.04559	0.00350746	9.29615	0.0026233	-2.03165	0.00424613	6.89855	0.00262781
226	-3.07227	0.00344158	9.35635	0.00251487	-2.0457	0.00411406	6.94367	0.00256997
227	-3.10144	0.00375393	9.4119	0.002777	-2.06249	0.00414937	6.97794	0.00256369
228	-3.12281	0.00355477	9.45885	0.0026483	-2.07698	0.0042786	7.01206	0.00259776
229	-3.13655	0.00361781	9.49892	0.00263241	-2.08709	0.00406134	7.04106	0.00252046
230	-3.15038	0.00377009	9.53311	0.00275863	-2.0954	0.00402076	7.06624	0.00255063
231	-3.16376	0.00357158	9.56061	0.00266011	-2.10455	0.00417233	7.08579	0.00259884
232	-3.17202	0.00353792	9.583	0.00261043	-2.1162	0.00401416	7.10082	0.00253852
233	-3.18309	0.00361671	9.59885	0.00261772	-2.12138	0.00407718	7.11441	0.00253536
234	-3.18834	0.00346216	9.61795	0.00253454	-2.12797	0.00395865	7.12368	0.00247386
235	-3.20208	0.00345704	9.63091	0.00254752	-2.13346	0.00381506	7.13665	0.0024501
236	-3.20756	0.00334808	9.64397	0.00245997	-2.14142	0.00382334	7.1465	0.0024153
237	-3.19096	0.00354288	9.64662	0.00258419	-2.12334	0.00397041	7.15045	0.00249044
238	-3.2029	0.00328908	9.65087	0.00243612	-2.13392	0.00407129	7.15348	0.00251767
239	-3.20634	0.003533	9.65523	0.00256199	-2.13616	0.00391904	7.15755	0.00245777
240	-3.20963	0.00342734	9.65864	0.00253551	-2.13661	0.00404518	7.15513	0.002543
241	-3.20814	0.00332179	9.66051	0.00248875	-2.13572	0.00404571	7.1597	0.00258632
242	-3.20752	0.00348147	9.6634	0.00257684	-2.13669	0.00424837	7.16364	0.00265601
243	-3.20822	0.00353033	9.66273	0.00260993	-2.13977	0.0041012	7.16143	0.00260149
244	-3.21273	0.0034593	9.66669	0.00255311	-2.13814	0.00423089	7.16872	0.00265383
245	-3.21001	0.00334088	9.66563	0.00250567	-2.13873	0.00412364	7.16181	0.00257772
246	-3.2111	0.00322478	9.6706	0.00241607	-2.13728	0.00403883	7.16955	0.00254919
247	-3.20892	0.00339729	9.66919	0.00253163	-2.13828	0.00422458	7.16459	0.00263542
248	-3.20753	0.00346185	9.67093	0.00255372	-2.14015	0.00417247	7.16727	0.00260476
