	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
497	-17.0821	0.00206592	36.3845	0.00167343
498	-17.0882	0.00203412	36.3902	0.0016553
499	-17.104	0.0020658	36.4022	0.00167339
500	-17.1121	0.00199735	36.4092	0.0016193
501	-17.122	0.00204084	36.4182	0.00165496
502	-17.1306	0.00204309	36.4283	0.00165279
503	-17.1378	0.00205828	36.4373	0.00165495
504	-17.1485	0.00198989	36.4465	0.00162028
505	-17.157	0.00192436	36.4602	0.00156756
506	-17.1672	0.00192061	36.465	0.00157589
507	-17.1727	0.00188314	36.4746	0.0015323
508	-17.1838	0.00190205	36.48	0.00154949
509	-17.1996	0.00199367	36.4929	0.00162609
510	-17.2397	0.00196921	36.5266	0.00161263
511	-17.4528	0.00200758	36.7098	0.00163809
512	-17.6516	0.00199151	36.8915	0.00162182
513	-17.8245	0.00207886	37.0486	0.00170452
514	-17.9605	0.00200745	37.1704	0.00166006
515	-18.2516	0.00201618	37.423	0.00166663
516	-18.5488	0.00196355	37.6825	0.00163413
517	-18.8063	0.00198286	37.9194	0.00165186
518	-18.9758	0.00189841	38.0632	0.00161189
519	-19.2896	0.00203799	38.3236	0.00169135
520	-19.6631	0.00208356	38.6401	0.00174827
521	-19.9433	0.00206183	38.8716	0.00173011
522	-20.1473	0.00194992	39.0326	0.001678
523	-20.3733	0.0020182	39.2165	0.00171231
524	-20.6002	0.00200023	39.394	0.00170749
525	-20.7797	0.00203705	39.5339	0.0017508
526	-20.9146	0.00190977	39.639	0.00165525
527	-21.1272	0.00204901	39.8007	0.00173205
528	-21.4262	0.00195134	40.0291	0.00169093
529	-21.6671	0.0019495	40.2108	0.00170182
